business_id,industry,city,years_in_operation,number_of_employees,annual_revenue_egp,annual_expenses_egp,annual_profit_egp,profit_margin,revenue_growth_rate,customer_growth_rate,monthly_customers,market_demand_score,competition_level,owner_dependency_score,scalability_score,location_score,revenue_stability_score,valuation_egp
EGY-SME-05043,Restaurant/Cafe,Cairo,19,4,8710459.89,7966601.37,743858.52,0.0854,0.1901,0.2324,1847,2,4,1,1,2,10,13460000
EGY-SME-11209,E-commerce,Tanta,7,4,10269073.98,6947202.5,3321871.48,0.3235,0.1084,0.2562,1499,4,4,10,7,9,5,19565179
EGY-SME-07239,Education Center,Mansoura,5,23,7136333.23,5153066.3,1983266.93,0.2779,0.3432,0.3231,282,10,1,9,6,1,6,15582000
EGY-SME-11506,Education Center,Damietta,6,30,10997150.5,7414723.03,3582427.47,0.3258,-0.054,-0.1006,1269,5,1,5,10,7,10,21904251
EGY-SME-11075,Retail Store,Cairo,17,11,7588835.14,6082364.51,1506470.63,0.1985,-0.2606,-0.1523,3054,10,10,3,4,9,7,8611259
EGY-SME-10997,Service Business,Cairo,18,3,10172828.27,6661627.65,3511200.62,0.3452,0.2245,0.3308,271,8,3,10,9,1,5,26312400
EGY-SME-05000,Clinic/Medical,Cairo,6,17,8453021.94,6560714.65,1892307.29,0.2239,0.2372,0.2286,259,7,6,3,5,3,2,15592000
EGY-SME-08481,Restaurant/Cafe,Alexandria,17,19,5156093.05,4525300.42,630792.63,0.1223,0.1287,0.1214,586,9,2,4,10,3,1,11179000
EGY-SME-09268,Retail Store,Mansoura,16,9,1538614.18,1372488.76,166125.42,0.108,0.0229,0.0241,352,3,2,8,5,2,6,1915000
EGY-SME-08399,Service Business,Tanta,11,8,4529007.02,3905261.31,623745.71,0.1377,-0.0488,-0.0633,1405,4,8,1,2,8,2,5027000
EGY-SME-02632,E-commerce,Cairo,17,17,18671609.98,15119652.56,3551957.43,0.1902,0.213,0.1549,4858,8,2,10,6,5,5,38450000
EGY-SME-03132,Service Business,Cairo,20,9,9730368.98,7804493.05,1925875.93,0.1979,0.3001,0.3499,1127,4,9,10,8,6,9,18792000
EGY-SME-09584,Restaurant/Cafe,Giza,13,4,4481439.27,3973627.36,507811.91,0.1133,0.3221,0.2683,622,7,8,5,1,1,8,8013000
EGY-SME-08219,Retail Store,Cairo,2,14,11005032.11,8924582.64,2080449.47,0.189,0.3185,0.2795,2587,8,9,6,1,8,2,17883000
EGY-SME-09277,Retail Store,Zagazig,13,13,8892302.48,7199066.91,1693235.57,0.1904,0.1365,0.1585,3326,7,9,10,3,7,3,10985000
EGY-SME-03814,Education Center,Cairo,4,4,6873024.15,5107130.32,1765893.83,0.2569,0.0607,0.0679,1612,7,3,2,8,4,6,12802000
EGY-SME-05887,Clinic/Medical,Suez,16,5,6756939.6,4756373.29,2000566.32,0.2961,0.1289,0.1053,734,1,6,2,9,5,10,19091000
EGY-SME-05083,Service Business,Alexandria,8,20,7017039.18,5641079.17,1375960.01,0.1961,0.1452,0.1441,793,10,2,4,6,4,4,13509000
EGY-SME-11816,Service Business,Cairo,6,21,10133174.52,7964003.93,2169170.59,0.2141,-0.2566,-0.0864,428,8,8,6,2,9,6,7092141
EGY-SME-08824,Restaurant/Cafe,Faiyum,17,4,1674767.42,1493366.3,181401.12,0.1083,0.3134,0.2886,1185,9,9,9,4,9,3,2143000
EGY-SME-01218,Education Center,Port Said,20,11,7243289.69,5259212.84,1984076.86,0.2739,0.0123,0.0142,1863,1,4,10,9,10,10,15802000
EGY-SME-03992,Restaurant/Cafe,Shubra El Kheima,12,29,7339412.92,6485460.15,853952.78,0.1164,-0.0023,-0.0021,685,4,2,2,9,9,7,14705000
EGY-SME-11148,Retail Store,Aswan,7,11,3386284.11,2884941.4,501342.71,0.1481,0.0493,0.1287,2233,1,2,6,10,2,5,5440976
EGY-SME-07616,Retail Store,Alexandria,19,23,1320107.12,1073666.89,246440.22,0.1867,0.0619,0.0694,3071,1,10,10,9,7,5,2587000
EGY-SME-10692,Restaurant/Cafe,Faiyum,5,5,16171324.58,12370526.02,3800798.56,0.235,0.2651,0.1175,2023,8,8,1,3,9,6,18914539
EGY-SME-10185,Service Business,Ismailia,8,38,8607497.94,6860957.16,1746540.78,0.2029,0.1107,0.0899,849,9,5,7,8,10,9,15880551
EGY-SME-01684,Service Business,Cairo,13,29,1921536.37,1511600.5,409935.87,0.2133,0.0158,0.0132,1232,5,7,6,5,9,5,3269000
EGY-SME-04575,E-commerce,Alexandria,12,24,23827226.04,19572469.42,4254756.62,0.1786,0.3256,0.3732,2287,1,2,3,7,1,5,56066000
EGY-SME-11541,Service Business,Cairo,12,16,3792892.95,3411530.95,381362.0,0.1005,0.3729,0.6483,1230,2,9,8,8,4,9,4952000
EGY-SME-10751,Tech Startup,Mansoura,10,26,76594559.87,48914117.81,27680442.06,0.3614,0.3262,0.2155,345,1,8,5,6,5,7,115628803
EGY-SME-11284,Education Center,Aswan,11,18,4363834.34,3452329.77,911504.57,0.2089,-0.1419,0.0577,1297,2,6,2,3,6,3,4210356
EGY-SME-07563,Restaurant/Cafe,Giza,8,7,8401911.63,7055829.67,1346081.96,0.1602,0.2086,0.2565,1862,8,7,5,2,5,10,18852000
EGY-SME-05904,Retail Store,Cairo,14,15,11003806.48,9187187.56,1816618.92,0.1651,-0.1119,-0.0903,1860,3,9,9,1,5,6,10538000
EGY-SME-02583,Clinic/Medical,Mansoura,19,7,8983727.85,6465066.07,2518661.78,0.2804,0.0192,0.014,780,9,5,10,7,2,6,16788000
EGY-SME-03003,Retail Store,Zagazig,19,19,6109284.23,5417061.22,692223.02,0.1133,0.0711,0.0885,1635,1,6,3,1,6,4,7390000
EGY-SME-10044,Restaurant/Cafe,Giza,7,18,2303413.33,1869245.64,434167.69,0.1885,-0.1158,-0.244,1963,2,4,7,4,3,10,2359666
EGY-SME-02088,Education Center,Giza,20,19,5113109.0,4341933.65,771175.35,0.1508,0.0199,0.0148,224,9,1,5,5,6,5,9063000
EGY-SME-08929,Restaurant/Cafe,Cairo,8,5,3333668.48,2735925.17,597743.32,0.1793,0.1905,0.218,1813,6,9,6,9,5,10,6534000
EGY-SME-04149,E-commerce,Cairo,6,5,5569699.37,4992581.11,577118.26,0.1036,0.2314,0.1735,4997,1,2,8,5,1,1,5928000
EGY-SME-00136,Retail Store,Cairo,11,5,16316803.33,14409499.44,1907303.89,0.1169,0.2163,0.2127,2250,10,6,5,3,6,2,19180000
EGY-SME-09918,Restaurant/Cafe,Cairo,16,17,13009389.62,10792473.8,2216915.82,0.1704,0.3914,0.4,2016,3,8,9,4,10,3,20673000
EGY-SME-01744,Restaurant/Cafe,Aswan,10,21,7991891.19,7241369.05,750522.14,0.0939,0.3881,0.4,2990,7,7,3,4,2,2,14518000
EGY-SME-07342,Retail Store,Suez,15,24,9400478.25,7715587.38,1684890.87,0.1792,-0.1838,-0.1678,547,7,4,2,3,6,8,17390000
EGY-SME-10875,E-commerce,Cairo,5,26,7009658.05,5266269.76,1743388.3,0.2487,0.2236,0.1542,3508,4,6,1,7,2,7,21170564
EGY-SME-03708,Retail Store,Cairo,12,17,14219079.74,12716752.45,1502327.29,0.1057,0.0528,0.0531,1561,10,10,1,2,1,7,17961000
EGY-SME-05471,Education Center,Cairo,3,28,5716410.59,4176747.89,1539662.7,0.2693,0.0416,0.0327,640,5,3,6,6,2,3,10187000
EGY-SME-00701,Clinic/Medical,Cairo,20,10,608799.74,420423.67,188376.07,0.3094,0.3702,0.2886,276,5,1,6,1,5,2,1323000
EGY-SME-08558,Clinic/Medical,Shubra El Kheima,7,17,3763374.97,2712601.14,1050773.83,0.2792,0.0728,0.0598,469,7,10,1,6,2,4,6638000
EGY-SME-11716,Service Business,Giza,13,12,3868243.91,2855149.42,1013094.5,0.2619,-0.1051,0.0981,75,10,2,1,8,7,4,8730503
EGY-SME-01609,Restaurant/Cafe,Cairo,9,6,4772111.1,4148622.11,623488.99,0.1307,-0.1802,-0.1555,1571,6,4,6,1,1,2,4415000
EGY-SME-05864,Retail Store,Cairo,15,24,15049849.32,12396359.98,2653489.35,0.1763,0.0321,0.032,3225,4,4,5,6,7,4,22464000
EGY-SME-00430,Restaurant/Cafe,Asyut,20,5,8010392.69,6806641.11,1203751.57,0.1503,0.1553,0.1728,2972,6,3,7,2,2,6,11754000
EGY-SME-04024,Service Business,Cairo,9,31,4240164.41,3704718.6,535445.81,0.1263,-0.0438,-0.0549,107,9,4,9,8,2,7,6027000
EGY-SME-06689,Clinic/Medical,Giza,8,18,8021171.49,5827961.09,2193210.4,0.2734,0.0727,0.0586,141,3,6,5,8,7,8,15553000
EGY-SME-04101,Education Center,Suez,3,24,2107364.0,1775517.14,331846.86,0.1575,0.2627,0.2167,645,2,4,6,7,2,1,2898000
EGY-SME-08876,Restaurant/Cafe,Faiyum,8,3,1028355.91,907820.59,120535.31,0.1172,0.2003,0.246,1271,6,10,3,3,8,6,1420000
EGY-SME-08515,Retail Store,Tanta,13,18,15386646.44,12742609.44,2644037.01,0.1718,-0.101,-0.1269,2785,7,1,4,10,1,9,34132000
EGY-SME-09650,Restaurant/Cafe,Cairo,19,4,12031743.94,10204423.73,1827320.2,0.1519,0.3594,0.3674,1584,6,4,3,2,4,5,20673000
EGY-SME-02271,Restaurant/Cafe,Zagazig,3,10,7969912.52,7186123.18,783789.33,0.0983,0.2457,0.2605,1692,7,9,8,8,5,5,13070000
EGY-SME-07693,Retail Store,Faiyum,19,3,12338227.04,10632224.7,1706002.34,0.1383,-0.0693,-0.0603,1481,6,8,2,6,6,10,23299000
EGY-SME-00071,E-commerce,Zagazig,16,35,15667203.16,12148484.49,3518718.66,0.2246,-0.1594,-0.1538,3360,8,8,7,2,6,6,22207000
EGY-SME-05721,Restaurant/Cafe,Alexandria,17,23,3823086.35,3246547.72,576538.63,0.1508,0.2647,0.2259,1946,6,8,5,7,8,1,5607000
EGY-SME-10748,Restaurant/Cafe,Cairo,13,8,15184094.74,9990974.22,5193120.52,0.342,0.0668,-0.0788,757,1,7,3,10,6,9,36033351
EGY-SME-10153,Restaurant/Cafe,Suez,1,20,15594695.62,13455114.77,2139580.85,0.1372,0.38,0.3247,2405,9,2,9,8,3,9,29045891
EGY-SME-11958,Restaurant/Cafe,Alexandria,8,9,14420994.19,9390114.88,5030879.31,0.3489,-0.0049,-0.1318,958,10,9,1,7,9,10,23943538
EGY-SME-09138,Retail Store,Cairo,2,7,12916821.97,10994303.82,1922518.14,0.1488,-0.1935,-0.1565,820,4,4,6,10,4,9,18061000
EGY-SME-02020,Education Center,Cairo,3,6,5137959.09,3662743.59,1475215.5,0.2871,0.1461,0.1612,991,10,3,10,1,7,6,8983000
EGY-SME-09837,Service Business,Giza,1,24,5573200.13,4399164.08,1174036.05,0.2107,0.0811,0.0737,991,8,10,4,5,9,2,8978000
EGY-SME-11352,Retail Store,Port Said,5,10,5694154.31,4730924.76,963229.55,0.1692,0.0037,0.0053,2775,7,7,6,2,5,9,12804759
EGY-SME-06703,Retail Store,Cairo,11,12,983929.06,821835.73,162093.33,0.1647,-0.1638,-0.1221,2413,9,7,10,2,2,7,1051000
EGY-SME-04030,Retail Store,Cairo,11,13,8985609.69,8039947.59,945662.09,0.1052,0.2322,0.2605,2792,3,9,10,8,6,5,13765000
EGY-SME-07760,Restaurant/Cafe,Cairo,19,6,1746161.81,1538365.2,207796.61,0.119,0.3221,0.4,1563,5,9,1,3,10,4,3424000
EGY-SME-11691,Restaurant/Cafe,Alexandria,6,9,6246059.45,5113635.98,1132423.47,0.1813,0.4771,0.4679,2445,5,3,6,7,3,3,11264781
EGY-SME-08484,Service Business,Mansoura,14,10,5363018.75,4106826.08,1256192.67,0.2342,0.1369,0.1698,898,6,9,9,2,3,2,6542000
EGY-SME-03859,Retail Store,Giza,13,22,12800042.29,11193282.67,1606759.62,0.1255,0.0116,0.0146,3625,7,1,6,1,8,9,18075000
EGY-SME-00745,Restaurant/Cafe,Giza,18,10,13684353.11,12312198.14,1372154.97,0.1003,0.2254,0.2436,451,8,4,1,3,5,10,28324000
EGY-SME-01384,Retail Store,Suez,9,20,12510517.15,10429460.92,2081056.24,0.1663,0.1857,0.2198,1018,4,8,9,4,4,3,16061000
EGY-SME-05644,Retail Store,Cairo,12,23,19616880.5,16163933.88,3452946.62,0.176,0.2448,0.2339,742,4,9,3,3,3,9,31555000
EGY-SME-08686,Clinic/Medical,Cairo,8,7,2606058.5,1799683.88,806374.62,0.3094,0.0203,0.0232,330,8,8,6,2,8,1,2775000
EGY-SME-10614,Restaurant/Cafe,Cairo,18,27,11687972.93,9070204.93,2617768.0,0.224,0.2541,0.1285,1560,3,8,1,2,6,9,10679413
EGY-SME-00150,Retail Store,Alexandria,15,17,4498654.36,3885612.19,613042.17,0.1363,-0.173,-0.1327,1641,1,6,9,9,5,7,4537000
EGY-SME-11880,Retail Store,Alexandria,18,5,5418974.15,3539143.32,1879830.83,0.3469,0.115,0.1111,1119,2,3,3,10,1,8,19387322
EGY-SME-00812,Service Business,Mansoura,1,2,3035454.74,2515620.36,519834.38,0.1713,0.1728,0.1263,1139,9,3,1,3,8,5,5215000
EGY-SME-05901,Education Center,Alexandria,5,24,3615984.22,2723661.33,892322.89,0.2468,-0.0773,-0.0927,678,10,10,8,7,5,7,4908000
EGY-SME-04329,Restaurant/Cafe,Cairo,19,12,9615669.09,8108805.55,1506863.54,0.1567,0.2426,0.2365,1697,9,4,6,4,4,8,16506000
EGY-SME-06374,Service Business,Alexandria,17,15,937107.34,707278.67,229828.67,0.2453,0.1438,0.1841,196,8,10,8,2,6,1,1036000
EGY-SME-03996,Retail Store,Alexandria,4,11,6834234.91,6095212.29,739022.62,0.1081,-0.1176,-0.1025,458,7,7,6,2,4,1,5074000
EGY-SME-04383,Clinic/Medical,Cairo,19,3,8980548.02,6097104.2,2883443.82,0.3211,0.3916,0.3765,822,8,9,6,3,3,4,19888000
EGY-SME-01731,Retail Store,Luxor,10,7,10728341.89,9135795.29,1592546.6,0.1484,-0.1744,-0.1587,3237,6,2,8,2,5,3,10190000
EGY-SME-04360,Restaurant/Cafe,Asyut,6,20,2593091.49,2365304.63,227786.86,0.0878,0.1599,0.1234,811,3,9,10,4,6,1,2290000
EGY-SME-05028,Restaurant/Cafe,Port Said,10,27,5151022.71,4377302.43,773720.29,0.1502,0.0802,0.0757,535,10,2,1,5,6,5,8496000
EGY-SME-01794,Education Center,Cairo,5,6,7974155.46,5769703.07,2204452.39,0.2764,0.1628,0.1412,637,4,1,6,2,9,8,12201000
EGY-SME-09080,Restaurant/Cafe,Asyut,16,3,2281008.33,2007223.59,273784.74,0.12,0.3634,0.2818,2785,2,4,7,9,7,3,4150000
EGY-SME-05467,E-commerce,Faiyum,7,28,12650404.04,11152200.93,1498203.11,0.1184,0.0748,0.0739,3976,5,8,7,2,6,1,12898000
EGY-SME-11128,Service Business,Alexandria,6,34,10137299.41,6648434.73,3488864.67,0.3442,-0.134,0.0557,1565,3,7,10,6,7,10,14171052
EGY-SME-08487,Restaurant/Cafe,Cairo,5,4,10208528.5,8755054.48,1453474.02,0.1424,0.3258,0.2435,770,7,9,3,2,8,7,22061000
EGY-SME-01122,Tech Startup,Cairo,10,3,36102241.13,28857681.6,7244559.53,0.2007,0.3256,0.3599,658,4,8,10,9,9,1,74405000
EGY-SME-04619,Retail Store,Mansoura,5,15,5651071.79,4984848.54,666223.25,0.1179,0.0894,0.1132,3517,3,5,10,2,2,9,6313000
EGY-SME-05938,Restaurant/Cafe,Cairo,16,23,4040612.63,3391458.95,649153.68,0.1607,0.191,0.1857,1391,10,4,5,2,3,2,5706000
EGY-SME-09528,Restaurant/Cafe,Cairo,6,10,10835646.55,9098270.19,1737376.36,0.1603,0.1696,0.1547,1655,8,3,9,6,4,1,16932000
EGY-SME-02035,Education Center,Ismailia,2,11,791776.01,626959.16,164816.85,0.2082,-0.0243,-0.0182,1272,8,10,1,8,9,9,1582000
EGY-SME-03127,Education Center,Cairo,14,16,5815952.34,4108423.74,1707528.6,0.2936,-0.0001,-0.0001,1063,1,1,6,2,3,5,9731000
EGY-SME-11065,E-commerce,Tanta,20,16,8386862.5,6553780.68,1833081.82,0.2186,0.3695,0.2481,1506,6,10,7,2,6,10,12978950
EGY-SME-11823,Restaurant/Cafe,Asyut,5,5,11514317.72,8924465.59,2589852.13,0.2249,0.1668,0.3175,1036,4,10,8,1,7,2,12571933
EGY-SME-03828,Retail Store,Cairo,13,5,2343012.92,1880579.95,462432.97,0.1974,0.058,0.0467,152,10,6,1,7,10,1,4436000
EGY-SME-04368,Retail Store,Mansoura,2,11,16783202.29,14012349.42,2770852.88,0.1651,0.0992,0.1023,1751,5,4,4,2,7,9,24106000
EGY-SME-05298,Education Center,Cairo,1,24,4963346.07,3921665.05,1041681.02,0.2099,0.2787,0.1979,819,9,8,6,1,8,7,8311000
EGY-SME-03211,Restaurant/Cafe,Suez,10,9,12479852.42,10291674.59,2188177.83,0.1753,0.1814,0.1892,331,8,8,7,6,10,6,19386000
EGY-SME-09929,Service Business,Faiyum,7,30,2428355.4,1894999.22,533356.19,0.2196,0.199,0.2146,982,10,1,9,10,3,1,4897000
EGY-SME-02699,E-commerce,Zagazig,17,33,21050440.55,16075938.94,4974501.61,0.2363,0.1433,0.1264,1787,1,5,7,6,3,10,43944000
EGY-SME-08046,Restaurant/Cafe,Suez,18,27,12798586.45,11165895.9,1632690.54,0.1276,0.3211,0.3653,2732,9,5,9,2,4,7,21401000
EGY-SME-04280,Retail Store,Giza,11,3,16872841.76,14913788.46,1959053.3,0.1161,0.2691,0.3158,2603,2,7,5,4,8,10,29815000
EGY-SME-00374,Education Center,Giza,16,29,7700336.31,5517204.31,2183132.0,0.2835,0.0827,0.1022,1153,5,9,9,7,6,9,15711000
EGY-SME-00625,Education Center,Damietta,5,25,2343980.85,1901749.85,442231.0,0.1887,-0.0906,-0.0709,594,4,9,10,5,3,7,3308000
EGY-SME-11618,Restaurant/Cafe,Ismailia,11,20,12913510.72,9419334.5,3494176.22,0.2706,0.2709,0.2584,553,1,9,8,9,6,8,27794633
EGY-SME-06097,Restaurant/Cafe,Giza,13,22,7895171.79,6711297.75,1183874.05,0.1499,0.3068,0.3014,801,5,4,2,4,5,4,12712000
EGY-SME-04984,Service Business,Alexandria,11,23,2606095.44,2104481.94,501613.5,0.1925,-0.0422,-0.0323,683,8,6,1,10,2,4,5688000
EGY-SME-03489,Restaurant/Cafe,Cairo,14,11,7192366.63,6151940.66,1040425.96,0.1447,0.2724,0.3305,2617,3,4,2,4,6,9,17730000
EGY-SME-11980,Education Center,Faiyum,6,3,2142427.67,1394166.26,748261.4,0.3493,-0.0387,-0.133,1382,5,3,8,7,9,8,3832604
EGY-SME-02037,Restaurant/Cafe,Cairo,20,28,14183915.28,12222436.31,1961478.98,0.1383,0.3849,0.4,262,2,3,4,7,2,8,28511000
EGY-SME-08389,Clinic/Medical,Luxor,12,16,870257.61,667799.2,202458.41,0.2326,0.0806,0.0718,749,3,1,1,10,3,6,1628000
EGY-SME-00748,Clinic/Medical,Ismailia,17,19,6693845.25,4701382.81,1992462.43,0.2977,0.1263,0.1399,945,9,2,10,7,4,10,17278000
EGY-SME-09038,Service Business,Giza,2,5,4366414.99,3721266.91,645148.08,0.1478,0.0155,0.011,360,9,8,10,2,9,6,4787000
EGY-SME-09146,Retail Store,Cairo,8,9,14742776.02,13146498.64,1596277.38,0.1083,0.0199,0.0203,3720,7,3,4,3,9,10,23095000
EGY-SME-04448,E-commerce,Giza,8,10,21902765.3,18262568.06,3640197.24,0.1662,0.3521,0.4,3432,10,2,6,5,1,4,50075000
EGY-SME-11020,Education Center,Damietta,7,23,2649465.72,1487936.5,1161529.22,0.4384,0.0927,0.1843,506,1,7,5,10,6,6,12273934
EGY-SME-06744,Service Business,Faiyum,1,12,11581083.75,10086252.09,1494831.66,0.1291,-0.1487,-0.1303,1456,1,4,2,5,10,9,13974000
EGY-SME-07503,Restaurant/Cafe,Zagazig,14,9,3830136.16,3277665.33,552470.83,0.1442,0.224,0.1905,2675,10,4,3,3,6,8,7637000
EGY-SME-03101,Restaurant/Cafe,Cairo,1,26,13522054.44,11229795.47,2292258.97,0.1695,-0.1289,-0.1155,433,1,1,5,2,8,5,13333000
EGY-SME-03300,Service Business,Cairo,6,30,1081478.23,885752.39,195725.83,0.181,0.2141,0.2641,1073,4,9,5,10,9,3,2152000
EGY-SME-06246,Education Center,Alexandria,8,4,4292918.75,3189919.27,1102999.49,0.2569,0.292,0.3485,799,1,6,9,4,5,3,6411000
EGY-SME-08293,Restaurant/Cafe,Alexandria,10,16,10224221.84,8388942.22,1835279.62,0.1795,-0.0952,-0.1173,1366,10,8,1,10,10,2,17722000
EGY-SME-07567,Service Business,Port Said,9,32,11010387.11,9058763.06,1951624.04,0.1773,-0.0544,-0.0408,1244,4,3,10,2,4,8,11967000
EGY-SME-03432,Tech Startup,Zagazig,6,11,47924534.16,36505039.34,11419494.82,0.2383,-0.1332,-0.1032,1370,3,5,1,9,9,9,92990000
EGY-SME-07119,Education Center,Giza,19,5,5357521.32,4355101.51,1002419.81,0.1871,0.2454,0.2703,1013,6,7,4,9,5,7,11928000
EGY-SME-06806,E-commerce,Damietta,19,31,22536178.53,19638831.12,2897347.41,0.1286,0.1691,0.2174,944,10,4,8,3,3,6,38503000
EGY-SME-01262,E-commerce,Alexandria,6,18,5991050.89,4768019.91,1223030.98,0.2041,0.2505,0.2327,3351,4,9,8,6,8,10,12364000
EGY-SME-00648,Education Center,Asyut,6,13,4922729.56,3512480.81,1410248.75,0.2865,0.0866,0.1086,1863,5,7,5,3,10,7,7533000
EGY-SME-00020,Retail Store,Cairo,15,15,17475296.57,14284175.44,3191121.13,0.1826,-0.1011,-0.0768,3241,5,4,7,8,9,7,28024000
EGY-SME-05609,Retail Store,Suez,2,2,14337447.39,11482975.73,2854471.66,0.1991,-0.0633,-0.0516,502,9,8,10,5,2,10,22003000
EGY-SME-02146,Service Business,Port Said,4,16,11719631.33,9236751.24,2482880.1,0.2119,0.2043,0.2623,551,6,4,10,7,5,1,19165000
EGY-SME-06921,Service Business,Port Said,14,20,6059339.06,4899178.61,1160160.45,0.1915,0.2172,0.1721,1044,4,7,6,1,2,8,8878000
EGY-SME-05923,Restaurant/Cafe,Cairo,5,18,7064201.05,5882225.1,1181975.95,0.1673,-0.1007,-0.0973,2042,4,7,6,8,3,10,12876000
EGY-SME-09412,Education Center,Cairo,11,4,2668840.49,1995830.94,673009.55,0.2522,0.2798,0.3087,1002,10,2,8,4,9,10,7755000
EGY-SME-02792,Tech Startup,Cairo,13,30,67301338.83,56781029.77,10520309.06,0.1563,0.3984,0.4,1095,1,7,4,5,8,2,93932000
EGY-SME-04955,Retail Store,Shubra El Kheima,6,14,3084272.65,2623263.96,461008.69,0.1495,-0.0421,-0.0542,3197,7,3,3,9,2,6,5073000
